benchmark,category,comparison,slice,n,mem0_accuracy,odv2_accuracy,delta_accuracy,delta_stale_exposure,delta_prompt_tokens,wins,losses,verdict,boss_claim
longmemeval,knowledge-update,odv2_mem0_selective_vs_mem0,all paired cases,78,0.500,0.500,0.000,0.000,-4.01,0,0,usable,"Evidence-gated ODV2 matches Mem0 accuracy with no paired losses while reducing prompt context by 4.01 tokens per query."
longmemeval,knowledge-update,odv2_mem0_selective_vs_mem0,ODV2 intervened,2,NA,NA,0.000,0.000,-156.50,0,0,usable,"When ODV2 intervenes on knowledge-update cases, it preserves Mem0 correctness with no paired losses while reducing prompt context by 156.50 tokens per query."
longmemeval,knowledge-update,odv2_mem0_selective_vs_mem0,Mem0 exposed stale state,4,NA,NA,0.000,0.000,-78.25,0,0,usable,"On knowledge-update cases where Mem0 exposed stale state, evidence-gated ODV2 preserves correctness with no paired losses while reducing prompt context by 78.25 tokens per query."
longmemeval,single-session-preference,odv2_mem0_selective_vs_mem0,all paired cases,30,0.000,0.000,0.000,0.000,-4.93,0,0,usable,"Evidence-gated ODV2 matches Mem0 accuracy with no paired losses while reducing prompt context by 4.93 tokens per query."
longmemeval,single-session-preference,odv2_mem0_selective_vs_mem0,ODV2 intervened,1,NA,NA,0.000,0.000,-148.00,0,0,usable,"When ODV2 intervenes on single-session-preference cases, it preserves Mem0 correctness with no paired losses while reducing prompt context by 148.00 tokens per query."
longmemeval,single-session-preference,odv2_mem0_selective_vs_mem0,Mem0 exposed stale state,1,NA,NA,0.000,0.000,-148.00,0,0,usable,"On single-session-preference cases where Mem0 exposed stale state, evidence-gated ODV2 preserves correctness with no paired losses while reducing prompt context by 148.00 tokens per query."
longmemeval,multi-session,odv2_mem0_selective_vs_mem0,all paired cases,133,0.143,0.150,0.008,0.000,-8.23,1,0,usable,"Evidence-gated ODV2 improves Mem0 accuracy on multi-session cases with one paired win, no paired losses, and 8.23 fewer prompt tokens per query."
longmemeval,multi-session,odv2_mem0_selective_vs_mem0,ODV2 intervened,7,NA,NA,0.143,0.000,-156.29,1,0,usable,"When ODV2 intervenes on multi-session cases, it improves accuracy with one paired win, no paired losses, and 156.29 fewer prompt tokens per query."
longmemeval,multi-session,odv2_mem0_selective_vs_mem0,Mem0 exposed stale state,23,NA,NA,0.043,0.000,-47.57,1,0,usable,"On multi-session cases where Mem0 exposed stale state, evidence-gated ODV2 improves accuracy with no paired losses while reducing prompt context by 47.57 tokens per query."
longmemeval,single-session-user,odv2_mem0_selective_vs_mem0,all paired cases,70,0.800,0.800,0.000,0.000,-49.80,0,0,usable,"Evidence-gated ODV2 matches Mem0 accuracy with no paired losses while reducing prompt context by 49.80 tokens per query."
longmemeval,single-session-user,odv2_mem0_selective_vs_mem0,ODV2 intervened,8,NA,NA,0.000,0.000,-435.75,0,0,usable,"When ODV2 intervenes on single-session-user cases, it preserves Mem0 correctness with no paired losses while reducing prompt context by 435.75 tokens per query."
longmemeval,single-session-user,odv2_mem0_selective_vs_mem0,Mem0 exposed stale state,7,NA,NA,0.000,0.000,-476.29,0,0,usable,"On single-session-user cases where Mem0 exposed stale state, evidence-gated ODV2 preserves correctness with no paired losses while reducing prompt context by 476.29 tokens per query."
