benchmark,category,scope,n,mem0_accuracy,odv2_accuracy,delta_accuracy,delta_gold_mismatch_exposure,delta_prompt_tokens,wins,losses,verdict,interpretation
longmemeval,knowledge-update,all paired cases,78,0.500,0.500,0.000,0.000,-4.01,0,0,usable,"Matches Mem0 accuracy with no paired losses and lower prompt context."
longmemeval,knowledge-update,ODV2 intervened,2,NA,NA,0.000,0.000,-156.50,0,0,usable,"Intervention cases preserve Mem0 correctness with no losses and large context reduction."
longmemeval,knowledge-update,Gold-mismatched same-key state exposed,4,NA,NA,0.000,0.000,-78.25,0,0,usable,"Gold-mismatch cases preserve correctness with no losses and lower context."
longmemeval,single-session-preference,all paired cases,30,0.000,0.000,0.000,0.000,-4.93,0,0,usable,"Matches Mem0 accuracy with no paired losses and lower prompt context."
longmemeval,single-session-preference,ODV2 intervened,1,NA,NA,0.000,0.000,-148.00,0,0,usable,"Intervention case preserves Mem0 correctness with no loss and large context reduction."
longmemeval,single-session-preference,Gold-mismatched same-key state exposed,1,NA,NA,0.000,0.000,-148.00,0,0,usable,"Gold-mismatch case preserves correctness with no loss and lower context."
longmemeval,multi-session,all paired cases,133,0.143,0.150,0.008,0.000,-8.23,1,0,usable,"Improves Mem0 accuracy with one paired win, no paired losses, and lower prompt context."
longmemeval,multi-session,ODV2 intervened,7,NA,NA,0.143,0.000,-156.29,1,0,usable,"Intervention cases improve accuracy with one paired win, no losses, and large context reduction."
longmemeval,multi-session,Gold-mismatched same-key state exposed,23,NA,NA,0.043,0.000,-47.57,1,0,usable,"Gold-mismatch cases improve accuracy with no losses and lower context."
longmemeval,single-session-user,all paired cases,70,0.800,0.800,0.000,0.000,-49.80,0,0,usable,"Matches Mem0 accuracy with no paired losses and materially lower prompt context."
longmemeval,single-session-user,ODV2 intervened,8,NA,NA,0.000,0.000,-435.75,0,0,usable,"Intervention cases preserve Mem0 correctness with no losses and very large context reduction."
longmemeval,single-session-user,Gold-mismatched same-key state exposed,7,NA,NA,0.000,0.000,-476.29,0,0,usable,"Gold-mismatch cases preserve Mem0 correctness with no losses and very large context reduction."
