benchmark,category_or_slice,scope,method,n,accuracy,exact_accuracy,retrieval_hit,stale_exposure,context_tokens,memory_tokens,latency_ms,delta_accuracy_vs_mem0,delta_stale_vs_mem0,delta_context_tokens_vs_mem0,wins_vs_mem0,losses_vs_mem0,verdict,interpretation
LongMemEval,knowledge-update,aggregate,mem0,78,0.500,NA,NA,NA,NA,NA,NA,0.000,0.000,0.00,0,0,baseline,Mem0 baseline for knowledge-update.
LongMemEval,knowledge-update,aggregate,odv2_mem0_selective,78,0.500,NA,NA,NA,NA,NA,NA,0.000,0.000,-4.01,0,0,usable,Evidence-gated ODV2 matches Mem0 accuracy with no paired losses and lower prompt context.
LongMemEval,knowledge-update,validity_slice,odv2_mem0_selective_vs_mem0__ODV2_intervened,2,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-156.50,0,0,usable,ODV2 intervention preserves correctness and reduces context.
LongMemEval,knowledge-update,validity_slice,odv2_mem0_selective_vs_mem0__Mem0_exposed_stale_state,4,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-78.25,0,0,usable,ODV2 preserves correctness on Mem0 stale-exposure cases while reducing context.
LongMemEval,single-session-preference,aggregate,mem0,30,0.000,NA,NA,NA,NA,NA,NA,0.000,0.000,0.00,0,0,baseline,Mem0 baseline for single-session-preference.
LongMemEval,single-session-preference,aggregate,odv2_mem0_selective,30,0.000,NA,NA,NA,NA,NA,NA,0.000,0.000,-4.93,0,0,usable,Evidence-gated ODV2 matches Mem0 accuracy with no paired losses and lower prompt context.
LongMemEval,single-session-preference,validity_slice,odv2_mem0_selective_vs_mem0__ODV2_intervened,1,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-148.00,0,0,usable,ODV2 intervention preserves correctness and reduces context.
LongMemEval,single-session-preference,validity_slice,odv2_mem0_selective_vs_mem0__Mem0_exposed_stale_state,1,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-148.00,0,0,usable,ODV2 preserves correctness on Mem0 stale-exposure case while reducing context.
LongMemEval,multi-session,aggregate,mem0,133,0.143,NA,NA,NA,NA,NA,NA,0.000,0.000,0.00,0,0,baseline,Mem0 baseline for multi-session.
LongMemEval,multi-session,aggregate,odv2_mem0_selective,133,0.150,NA,NA,NA,NA,NA,NA,0.008,0.000,-8.23,1,0,usable,Evidence-gated ODV2 improves Mem0 accuracy with one paired win and no paired losses while reducing prompt context.
LongMemEval,multi-session,validity_slice,odv2_mem0_selective_vs_mem0__ODV2_intervened,7,NA,NA,NA,NA,NA,NA,NA,0.143,0.000,-156.29,1,0,usable,ODV2 intervention improves accuracy with no paired losses and reduces context.
LongMemEval,multi-session,validity_slice,odv2_mem0_selective_vs_mem0__Mem0_exposed_stale_state,23,NA,NA,NA,NA,NA,NA,NA,0.043,0.000,-47.57,1,0,usable,ODV2 improves accuracy on Mem0 stale-exposure cases with no paired losses.
LongMemEval,single-session-user,aggregate,mem0,70,0.800,NA,NA,NA,NA,NA,NA,0.000,0.000,0.00,0,0,baseline,Mem0 baseline for single-session-user.
LongMemEval,single-session-user,aggregate,odv2_mem0_selective,70,0.800,NA,NA,NA,NA,NA,NA,0.000,0.000,-49.80,0,0,usable,Evidence-gated ODV2 matches Mem0 accuracy with no paired losses and lower prompt context.
LongMemEval,single-session-user,validity_slice,odv2_mem0_selective_vs_mem0__ODV2_intervened,8,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-435.75,0,0,usable,ODV2 intervention preserves correctness with no losses and very large context reduction.
LongMemEval,single-session-user,validity_slice,odv2_mem0_selective_vs_mem0__Mem0_exposed_stale_state,7,NA,NA,NA,NA,NA,NA,NA,0.000,0.000,-476.29,0,0,usable,ODV2 preserves correctness on Mem0 stale-exposure cases with very large context reduction.
